股票代號,股票名稱,股數,權重
2330,台灣積體電路製造,588000,14.45
2059,川湖科技,50000,4.48
2027,大成不銹鋼工業,9445000,4.35
2376,技嘉科技,1170000,3.94
2303,聯華電子,2899000,3.55
2327,國巨,600000,3.43
6442,光紅建聖,255000,3.36
3008,大立光電,81000,3.33
6187,萬潤科技,319000,3.32
3036,文曄科技,1533000,3.25
2345,智邦科技,124000,3.0
2408,南亞科技,671000,2.76
2383,台光電子材料,52000,2.69
6147,頎邦科技,1656000,2.33
2454,聯發科技,50000,2.03
4958,臻鼎科技控股,443000,1.94
6669,緯穎科技服務,26000,1.6
6446,藥華醫藥,128000,1.55
3081,聯亞光電工業,83000,1.54
2395,研華,249000,1.49
2412,中華電信,940000,1.35
4904,遠傳電信,1242000,1.33
3653,健策精密工業,32000,1.25
3131,弘塑科技,49000,1.23
3293,鈊象電子,146000,1.17
3017,奇鋐科技,42000,1.11
3661,世芯電子,30000,1.01
1216,統一企業,1303000,0.99
2308,台達電子工業,59000,0.97
8299,群聯電子,53000,0.97
3665,貿聯控股（BizLink Holding In,43000,0.93
2344,華邦電子,611000,0.91
2368,金像電子（股）公司,98000,0.89
3711,日月光投資控股,125000,0.79
3037,欣興電子,76000,0.68
2049,上銀科技,175000,0.6
2891,中國信託金融控股,771000,0.52
2881,富邦金融控股,363000,0.49
3105,穩懋半導體,149000,0.48
8046,南亞電路板,48000,0.47
2360,致茂電子,22000,0.45
6488,環球晶圓,45000,0.4
6223,旺矽科技,5000,0.3
6415,矽力杰,63000,0.28
7769,鴻勁精密,4000,0.27
3529,力旺電子,10000,0.25
8996,高力熱處理工業,23000,0.22
1802,台灣玻璃工業,393000,0.19
2317,鴻海精密工業,64000,0.17
3189,景碩科技,2000,0.01
