股票代號,股票名稱,股數,權重
2330,台灣積體電路製造,1096000,24.03
8046,南亞電路板,350000,2.85
2376,技嘉科技,846000,2.7
3653,健策精密工業,70000,2.57
4958,臻鼎科技控股,428000,2.51
3661,世芯電子,63000,2.5
2360,致茂電子,118000,2.42
2412,中華電信,1778000,2.38
2308,台達電子工業,119000,2.36
6223,旺矽科技,40000,2.36
2395,研華,523000,2.35
2059,川湖科技,38000,2.31
2454,聯發科技,55000,2.26
3036,文曄科技,1047000,2.16
2368,金像電子（股）公司,165000,2.08
2383,台光電子材料,42000,2.01
7769,鴻勁精密,29000,1.95
6669,緯穎科技服務,41000,1.91
2049,上銀科技,623000,1.86
3081,聯亞光電工業,89000,1.84
3293,鈊象電子,254000,1.81
3017,奇鋐科技,83000,1.8
3529,力旺電子,54000,1.57
1802,台灣玻璃工業,2416000,1.54
1216,統一企業,2161000,1.51
2345,智邦科技,66000,1.51
3711,日月光投資控股,263000,1.44
6442,光紅建聖,81000,1.37
8996,高力熱處理工業,98000,1.37
3105,穩懋半導體,279000,1.33
6488,環球晶圓,129000,1.3
2881,富邦金融控股,1027000,1.28
3008,大立光電,24000,1.14
8299,群聯電子,45000,0.96
2344,華邦電子,491000,0.9
2303,聯華電子,687000,0.88
2891,中國信託金融控股,1217000,0.79
6415,矽力杰,144000,0.76
4904,遠傳電信,713000,0.72
6147,頎邦科技,326000,0.69
3131,弘塑科技,22000,0.66
2408,南亞科技,143000,0.57
6187,萬潤科技,41000,0.44
3665,貿聯控股（BizLink Holding In,17000,0.33
6805,富世達,18000,0.28
3533,嘉澤端子工業,13000,0.27
2317,鴻海精密工業,78000,0.2
3037,欣興電子,6000,0.05
6239,力成科技,16000,0.05
3189,景碩科技,2000,0.01
