股票代號,股票名稱,股數,權重
2330,台灣積體電路製造,1372000,27.49
2059,川湖科技,153000,7.4
2881,富邦金融控股,3448000,2.87
3711,日月光投資控股,518000,2.55
2368,金像電子（股）公司,191000,2.36
2891,中國信託金融控股,4922000,2.34
2308,台達電子工業,119000,2.32
7769,鴻勁精密,37000,2.26
2360,致茂電子,100000,2.17
6669,緯穎科技服務,41000,2.11
3017,奇鋐科技,91000,2.04
1216,統一企業,3076000,2.0
6789,采鈺科技,378000,1.99
4904,遠傳電信,2320000,1.97
8299,群聯電子,80000,1.94
3661,世芯電子,39000,1.84
2383,台光電子材料,37000,1.61
2454,聯發科技,47000,1.54
1477,聚陽實業,752000,1.53
3293,鈊象電子,229000,1.5
2345,智邦科技,66000,1.48
6223,旺矽科技,30000,1.46
6781,AES Holding Co Ltd,127000,1.45
2344,華邦電子,1336000,1.44
3529,力旺電子,37000,1.35
6488,環球晶圓,190000,1.33
6805,富世達,77000,1.27
3653,健策精密工業,33000,1.15
6415,矽力杰,256000,1.08
6442,光紅建聖,64000,1.08
8046,南亞電路板,134000,1.07
3665,貿聯控股（BizLink Holding In,41000,1.01
8996,高力熱處理工業,96000,0.9
2412,中華電信,561000,0.68
2408,南亞科技,221000,0.63
4749,新應材,57000,0.6
3533,嘉澤端子工業,19000,0.47
2395,研華,104000,0.46
8210,勤誠興業,32000,0.44
2317,鴻海精密工業,117000,0.26
2474,可成科技,139000,0.25
3105,穩懋半導體,41000,0.19
4958,臻鼎科技控股,53000,0.19
3189,景碩科技,24000,0.11
6515,穎崴科技,1000,0.09
3264,欣銓科技,26000,0.05
3037,欣興電子,6000,0.05
6239,力成科技,25000,0.05
2382,廣達電腦,14000,0.04
1519,華城電機,5000,0.04
