股票代號,股票名稱,股數,權重
2330,台灣積體電路製造,1096000,24.04
3131,弘塑科技,87000,2.79
8046,南亞電路板,350000,2.78
2376,技嘉科技,846000,2.65
3081,聯亞光電工業,116000,2.58
3653,健策精密工業,70000,2.53
3661,世芯電子,63000,2.51
4958,臻鼎科技控股,428000,2.5
2360,致茂電子,118000,2.48
2059,川湖科技,38000,2.37
6223,旺矽科技,40000,2.34
2412,中華電信,1778000,2.33
2383,台光電子材料,42000,2.14
3036,文曄科技,1047000,2.12
2368,金像電子（股）公司,165000,2.04
6669,緯穎科技服務,41000,1.91
2049,上銀科技,623000,1.9
2395,研華,423000,1.9
2454,聯發科技,47000,1.88
7769,鴻勁精密,29000,1.84
3293,鈊象電子,254000,1.83
1802,台灣玻璃工業,2801000,1.82
3017,奇鋐科技,83000,1.81
2308,台達電子工業,85000,1.66
3529,力旺電子,54000,1.61
3008,大立光電,32000,1.51
1216,統一企業,2161000,1.47
3711,日月光投資控股,263000,1.47
2345,智邦科技,66000,1.46
6442,光紅建聖,81000,1.43
8996,高力熱處理工業,98000,1.42
3105,穩懋半導體,279000,1.34
2881,富邦金融控股,1027000,1.29
8299,群聯電子,45000,1.04
2344,華邦電子,491000,0.98
2303,聯華電子,687000,0.91
6488,環球晶圓,90000,0.91
6415,矽力杰,144000,0.82
2891,中國信託金融控股,1217000,0.8
6147,頎邦科技,326000,0.75
4904,遠傳電信,713000,0.7
2408,南亞科技,143000,0.6
6187,萬潤科技,41000,0.46
3665,貿聯控股（BizLink Holding In,17000,0.32
6805,富世達,18000,0.29
3533,嘉澤端子工業,13000,0.27
2317,鴻海精密工業,78000,0.19
3037,欣興電子,6000,0.05
6239,力成科技,16000,0.05
3189,景碩科技,2000,0.01
