股票代號,股票名稱,股數,權重
2330,台灣積體電路製造,645000,8.19
2308,台達電子工業,459000,5.42
2454,聯發科技,188000,4.09
2383,台光電子材料,134000,3.78
7769,鴻勁精密,74000,3.22
2360,致茂電子,248000,3.17
2345,智邦科技,227000,3.16
3037,欣興電子,562000,3.07
2368,金像電子（股）公司,393000,2.94
2408,南亞科技,1646000,2.88
3017,奇鋐科技,184000,2.64
2344,華邦電子,3621000,2.55
5274,信驊科技,25000,2.5
6223,旺矽科技,71000,2.41
2059,川湖科技,82000,2.35
2317,鴻海精密工業,1506000,2.12
6669,緯穎科技服務,68000,2.12
8299,群聯電子,150000,2.05
3443,創意電子,70000,2.03
3081,聯亞光電工業,127000,1.94
3711,日月光投資控股,584000,1.85
6274,台燿科技,222000,1.82
6515,穎崴科技,37000,1.81
8210,勤誠興業,236000,1.79
3036,文曄科技,1067000,1.74
6805,富世達,161000,1.63
2382,廣達電腦,899000,1.6
8996,高力熱處理工業,221000,1.46
2376,技嘉科技,577000,1.05
3189,景碩科技,305000,1.05
3231,緯創資通,1228000,1.0
6831,邁科科技,224000,0.99
3293,鈊象電子,220000,0.93
2891,中國信託金融控股,2849000,0.92
3653,健策精密工業,38000,0.78
3044,健鼎科技,276000,0.76
6442,光紅建聖,71000,0.75
2884,玉山金融控股,3867622,0.68
3665,貿聯控股（BizLink Holding In,53336,0.67
6584,南俊國際,153000,0.59
5904,寶雅國際,179450,0.57
2548,華固建設,512000,0.36
1477,聚陽實業,201000,0.25
3264,欣銓科技,172000,0.21
3533,嘉澤端子工業,13000,0.19
4915,致伸科技,298000,0.12
