股票代號,股票名稱,股數,權重
2330,台灣積體電路製造,753000,8.94
2059,川湖科技,80000,5.65
2454,聯發科技,249000,4.74
3081,聯亞光電工業,228600,3.8
2383,台光電子材料,136000,3.69
2308,台達電子工業,404000,3.52
3037,欣興電子,563000,3.27
2408,南亞科技,1096000,2.92
1303,南亞塑膠工業,2416000,2.71
2317,鴻海精密工業,1921000,2.39
7769,鴻勁精密,73000,2.28
3017,奇鋐科技,134000,2.21
2344,華邦電子,2293000,2.1
8299,群聯電子,197000,2.09
2368,金像電子（股）公司,393000,1.99
3653,健策精密工業,69000,1.92
6223,旺矽科技,72000,1.81
2345,智邦科技,174000,1.79
6669,緯穎科技服務,52000,1.75
3443,創意電子,59000,1.72
6515,穎崴科技,55000,1.65
2327,國巨,595000,1.63
2382,廣達電腦,987000,1.62
3711,日月光投資控股,526000,1.57
6274,台燿科技,209000,1.49
2360,致茂電子,148000,1.45
2891,中國信託金融控股,4525000,1.42
5274,信驊科技,18300,1.38
6213,聯茂電子,482000,1.34
8046,南亞電路板,203000,1.3
2884,玉山金融控股,6340622,1.2
2376,技嘉科技,694000,1.18
8996,高力熱處理工業,181000,1.17
5904,寶雅國際,3124500,1.14
3036,文曄科技,1147000,1.09
4958,臻鼎科技控股,461000,1.08
3231,緯創資通,1041000,0.92
8210,勤誠興業,193000,0.91
3008,大立光電,26000,0.89
3293,鈊象電子,252000,0.87
3189,景碩科技,185000,0.83
3044,健鼎科技,345000,0.82
3264,欣銓科技,650000,0.7
6805,富世達,54000,0.59
3529,力旺電子,44000,0.57
6831,邁科科技,182000,0.53
3026,禾伸堂企業,134000,0.45
3665,貿聯控股（BizLink Holding In,32336,0.33
6442,光紅建聖,38000,0.3
3533,嘉澤端子工業,35000,0.28
