股票代號,股票名稱,股數,權重
2330,台灣積體電路製造,663000,9.63
2454,聯發科技,279000,5.94
2383,台光電子材料,152000,4.32
2059,川湖科技,91000,4.28
2308,台達電子工業,404000,3.97
7769,鴻勁精密,73000,2.7
3037,欣興電子,563000,2.66
6223,旺矽科技,76000,2.4
2317,鴻海精密工業,1569000,2.36
3081,聯亞光電工業,237600,2.32
2408,南亞科技,1039000,2.24
6515,穎崴科技,55000,1.92
2368,金像電子（股）公司,393000,1.87
2345,智邦科技,147000,1.87
2360,致茂電子,148000,1.86
3017,奇鋐科技,134000,1.86
6669,緯穎科技服務,47000,1.52
1303,南亞塑膠工業,1535000,1.47
2891,中國信託金融控股,3711000,1.44
3653,健策精密工業,69000,1.42
5274,信驊科技,16300,1.42
2376,技嘉科技,694000,1.4
3443,創意電子,59000,1.35
3036,文曄科技,1147000,1.35
5904,寶雅國際,312450,1.35
3711,日月光投資控股,400000,1.33
2382,廣達電腦,723000,1.26
6274,台燿科技,187000,1.24
8299,群聯電子,120000,1.18
3293,鈊象電子,252000,1.17
8046,南亞電路板,203000,1.12
3231,緯創資通,1041000,1.1
2327,國巨,345000,1.04
2884,玉山金融控股,4362622,1.01
3529,力旺電子,65000,0.96
8996,高力熱處理工業,181000,0.93
2344,華邦電子,1153000,0.9
3008,大立光電,36000,0.87
8210,勤誠興業,139000,0.87
4958,臻鼎科技控股,335000,0.83
6213,聯茂電子,482000,0.76
3189,景碩科技,185000,0.7
6805,富世達,54000,0.44
3665,貿聯控股（BizLink Holding In,32336,0.41
3044,健鼎科技,164000,0.36
3026,禾伸堂企業,134000,0.36
3264,欣銓科技,316000,0.34
6831,邁科科技,93000,0.29
6442,光紅建聖,38000,0.26
3533,嘉澤端子工業,13000,0.14
