股票代號,股票名稱,股數,權重
2330,台積電,436000,8.55
2383,台光電,151000,5.44
2308,台達電,312000,5.41
3037,欣興,708000,4.29
2368,金像電,350000,3.83
2360,致茂,196000,3.78
3017,奇鋐,163000,3.74
3665,貿聯-KY,165000,3.72
2345,智邦,187000,3.58
5274,信  驊,26000,3.54
3653,健策,75000,3.09
2454,聯發科,169000,3.01
2382,廣達,990000,2.96
3044,健鼎,667000,2.57
6223,旺矽,53000,2.45
2404,漢唐,174000,1.53
2303,聯電,2165000,1.39
2327,國巨,448000,1.37
6488,環球晶,268000,1.36
3081,聯  亞,60000,1.33
2344,華邦電,1525000,1.28
2357,華碩,231000,1.28
1303,南亞,1410000,1.2
6805,富世達,65000,1.16
3163,波若威,98000,1.05
2313,華通,417000,1.02
8210,勤  誠,106000,1.02
6274,台  燿,112000,1.01
6669,緯穎,29000,1.01
2059,川湖,31000,1.0
3443,創意,31000,0.97
6285,啟  碁,369000,0.93
3211,順  達,278000,0.91
3036,文曄,411000,0.91
6271,同欣電,509000,0.89
3529,力旺,25000,0.87
2885,元大金,1744000,0.83
2376,技嘉,311000,0.82
3293,鈊  象,103000,0.74
2891,中信金,1415000,0.71
6442,光  聖,36000,0.7
2379,瑞昱,135000,0.69
5434,崇越,154000,0.6
2881,富邦金,627000,0.52
1717,長興,695000,0.5
1519,華  城,56000,0.46
6683,雍智科技,24000,0.43
2449,京元電子,160000,0.43
3023,信邦,146000,0.38
1477,聚  陽,181000,0.37
2027,大成鋼,1038000,0.36
3374,精  材,208000,0.36
8464,億  豐,91000,0.32
2385,群光,259000,0.31
6121,新  普,59000,0.19
6715,嘉  基,46000,0.18
