股票代號,股票名稱,股數,權重
2330,台灣積體電路製造,221000,6.62
2308,台達電子工業,140000,4.03
2383,台光電子材料,46000,2.9
2357,華碩電腦,301000,2.36
2317,鴻海精密工業,731000,2.33
7769,鴻勁精密,31000,2.31
2345,智邦科技,69000,2.29
1477,聚陽實業,811000,2.28
3017,奇鋐科技,63000,2.27
2368,金像電子（股）公司,111000,2.19
6669,緯穎科技服務,33000,2.09
2382,廣達電腦,481000,2.06
3526,凡甲科技,431000,2.03
2618,長榮航空,4337000,1.96
2385,群光電子,1118000,1.93
2408,南亞科技,551000,1.88
6515,穎崴科技,14000,1.87
3665,貿聯控股（BizLink Holding In,48000,1.84
1319,東陽實業廠,1711000,1.74
6223,旺矽科技,26000,1.73
2059,川湖科技,31000,1.71
2393,億光電子工業,1745000,1.68
5274,信驊科技,7000,1.66
2731,雄獅旅行社,769000,1.64
2360,致茂電子,55000,1.64
4915,致伸科技,1624000,1.61
3592,瑞鼎科技,499000,1.6
2548,華固建設,983000,1.58
6121,新普科技,324000,1.56
8299,群聯電子,50000,1.41
2344,華邦電子,1067000,1.4
3711,日月光投資控股,198000,1.37
6274,台燿科技,82000,1.33
6670,復盛應用科技,389000,1.33
9910,豐泰企業,1408000,1.3
9802,鈺齊國際,1201000,1.29
9941,裕融企業,1218000,1.23
9938,台灣百和工業,1915000,1.16
5534,長虹建設,1073000,1.11
8210,勤誠興業,64000,1.08
8454,富邦媒體科技,442000,1.05
6805,富世達,38000,1.01
2727,王品餐飲,333000,1.01
2204,中華汽車工業,1389000,0.99
4105,台灣東洋藥品工業,985000,0.97
6768,志強國際企業,890000,0.94
9907,統一實業,3807000,0.89
4746,台耀化學,1088000,0.81
2454,聯發科技,16000,0.67
