股票代號,股票名稱,股數,權重
2330,台灣積體電路製造,1144000,25.79
3653,健策精密工業,85000,4.03
3665,貿聯控股（BizLink Holding In,154000,3.99
8046,南亞電路板,422000,3.29
2454,聯發科技,157000,3.22
2308,台達電子工業,160000,3.19
6805,富世達,155000,3.18
3105,穩懋半導體,559000,2.96
6223,旺矽科技,55000,2.92
2345,智邦科技,128000,2.82
6789,采鈺科技,560000,2.51
2360,致茂電子,100000,2.22
2368,金像電子（股）公司,175000,2.2
3529,力旺電子,49000,1.96
3533,嘉澤端子工業,66000,1.79
8299,群聯電子,92000,1.58
3017,奇鋐科技,58000,1.53
2383,台光電子材料,37000,1.53
2344,華邦電子,1579000,1.53
3189,景碩科技,349000,1.48
6669,緯穎科技服務,37000,1.48
3661,世芯電子,39000,1.47
7769,鴻勁精密,28000,1.3
2412,中華電信,877000,1.29
2059,川湖科技,34000,1.27
3711,日月光投資控股,248000,1.21
8996,高力熱處理工業,96000,1.16
4749,新應材,117000,1.13
6442,光紅建聖,49000,1.1
6515,穎崴科技,10000,1.06
1477,聚陽實業,433000,1.01
2408,南亞科技,399000,0.92
2395,研華,204000,0.78
6781,AES Holding Co Ltd,69000,0.76
8210,勤誠興業,63000,0.69
6488,環球晶圓,98000,0.57
1216,統一企業,695000,0.55
3293,鈊象電子,65000,0.54
2317,鴻海精密工業,221000,0.49
2881,富邦金融控股,501000,0.48
3264,欣銓科技,249000,0.47
6239,力成科技,188000,0.43
2382,廣達電腦,119000,0.41
4904,遠傳電信,379000,0.39
2891,中國信託金融控股,659000,0.38
3037,欣興電子,53000,0.37
1605,華新麗華,843000,0.29
6415,矽力杰,85000,0.28
4958,臻鼎科技控股,77000,0.21
1519,華城電機,13000,0.12
