日期,股票代號,股票名稱,狀態,股數變化,今日股數,今日權重
2026-04-20,1303,南亞,新進,8013000,8013000,0.41
2026-04-20,1319,東陽,新進,506000,506000,0.02
2026-04-20,1815,富喬,新進,106000,106000,0.01
2026-04-20,2002,中鋼,新進,5158000,5158000,0.06
2026-04-20,2303,聯電,新進,29205000,29205000,1.33
2026-04-20,2308,台達電,加碼,5067000,5317000,5.98
2026-04-20,2313,華通,新進,114000,114000,0.02
2026-04-20,2327,國巨*,新進,14138000,14138000,2.67
2026-04-20,2330,台積電,加碼,5131000,7131000,8.55
2026-04-20,2345,智邦,加碼,4031000,4431000,5.26
2026-04-20,2357,華碩,新進,13000,13000,0.0
2026-04-20,2368,金像電,新進,7389000,7389000,5.29
2026-04-20,2383,台光電,新進,3138000,3138000,7.15
2026-04-20,2404,漢唐,新進,1056000,1056000,0.64
2026-04-20,2439,美律,新進,13000,13000,0.0
2026-04-20,2449,京元電子,新進,9930000,9930000,1.59
2026-04-20,2454,聯發科,加碼,1148000,1948000,2.19
2026-04-20,2481,強茂,新進,3649000,3649000,0.24
2026-04-20,3008,大立光,新進,13000,13000,0.02
2026-04-20,3017,奇鋐,新進,3547000,3547000,5.23
2026-04-20,3037,欣興,加碼,8987000,9287000,3.73
2026-04-20,3045,台灣大,新進,13000,13000,0.0
2026-04-20,3189,景碩,新進,2826000,2826000,0.72
2026-04-20,3211,順達,新進,3859000,3859000,0.84
2026-04-20,3217,優群,新進,580000,580000,0.06
2026-04-20,3264,欣銓,新進,4715000,4715000,0.52
2026-04-20,3324,雙鴻,新進,168000,168000,0.1
2026-04-20,3376,新日興,新進,1560000,1560000,0.19
2026-04-20,3443,創意,新進,271000,271000,0.57
2026-04-20,3583,辛耘,新進,527000,527000,0.25
2026-04-20,3653,健策,新進,2108000,2108000,6.27
2026-04-20,3661,世芯-KY,新進,350000,350000,0.75
2026-04-20,3665,貿聯-KY,新進,3612848,3612848,5.26
2026-04-20,3711,日月光投控,新進,7167000,7167000,1.96
2026-04-20,4979,華星光,新進,1037000,1037000,0.43
2026-04-20,5274,信驊,新進,351000,351000,3.0
2026-04-20,5347,世界,新進,10000,10000,0.0
2026-04-20,5439,高技,新進,2656000,2656000,0.69
2026-04-20,6147,頎邦,新進,7884000,7884000,0.59
2026-04-20,6187,萬潤,新進,436000,436000,0.32
2026-04-20,6191,精成科,新進,3814000,3814000,0.26
2026-04-20,6223,旺矽,新進,1648000,1648000,5.01
2026-04-20,6274,台燿,新進,3019000,3019000,1.7
2026-04-20,6488,環球晶,新進,923000,923000,0.3
2026-04-20,6510,精測,新進,711000,711000,1.6
2026-04-20,6515,穎崴,新進,344000,344000,2.2
2026-04-20,6669,緯穎,新進,582000,582000,1.37
2026-04-20,6805,富世達,新進,1536000,1536000,1.72
2026-04-20,7769,鴻勁,新進,94000,94000,0.25
2026-04-20,8046,南電,新進,8609000,8609000,4.06
2026-04-20,8210,勤誠,新進,1005000,1005000,0.61
2026-04-20,8358,金居,新進,5508000,5508000,1.32
2026-04-20,8996,高力,新進,535000,535000,0.38
2026-04-21,1303,南亞,加碼,1000,8014000,0.39
2026-04-21,1319,東陽,加碼,1000,507000,0.02
2026-04-21,2002,中鋼,加碼,1000,5159000,0.06
2026-04-21,2303,聯電,加碼,300000,29505000,1.23
2026-04-21,2308,台達電,加碼,502000,5819000,6.4
2026-04-21,2313,華通,加碼,600000,714000,0.1
2026-04-21,2327,國巨*,加碼,100000,14238000,2.51
2026-04-21,2330,台積電,加碼,937000,8068000,9.02
2026-04-21,2345,智邦,加碼,409000,4840000,5.78
2026-04-21,2357,華碩,加碼,1000,14000,0.0
2026-04-21,2383,台光電,加碼,220000,3358000,7.24
2026-04-21,2404,漢唐,加碼,1000,1057000,0.58
2026-04-21,2439,美律,加碼,1000,14000,0.0
2026-04-21,2449,京元電子,加碼,120000,10050000,1.54
2026-04-21,2454,聯發科,加碼,726000,2674000,3.05
2026-04-21,2481,強茂,加碼,1000,3650000,0.22
2026-04-21,3008,大立光,加碼,1000,14000,0.02
2026-04-21,3017,奇鋐,加碼,120000,3667000,5.13
2026-04-21,3045,台灣大,清倉,-13000,0,0.0
2026-04-21,3211,順達,加碼,1000,3860000,0.8
2026-04-21,3217,優群,加碼,50000,630000,0.06
2026-04-21,3324,雙鴻,加碼,1000,169000,0.1
2026-04-21,3653,健策,加碼,60000,2168000,6.35
2026-04-21,3661,世芯-KY,加碼,315000,665000,1.45
2026-04-21,3665,貿聯-KY,加碼,80000,3692848,4.89
2026-04-21,3711,日月光投控,加碼,202000,7369000,1.9
2026-04-21,5347,世界,加碼,1000,11000,0.0
2026-04-21,5439,高技,加碼,100000,2756000,0.66
2026-04-21,6187,萬潤,加碼,20000,456000,0.33
2026-04-21,6191,精成科,加碼,50000,3864000,0.24
2026-04-21,6223,旺矽,加碼,50000,1698000,4.58
2026-04-21,6415,矽力*-KY,新進,630000,630000,0.14
2026-04-21,6488,環球晶,加碼,25000,948000,0.31
2026-04-21,6510,精測,加碼,70000,781000,1.75
2026-04-21,6515,穎崴,加碼,9000,353000,2.06
2026-04-21,6669,緯穎,加碼,212000,794000,1.83
2026-04-21,6805,富世達,加碼,60000,1596000,1.67
2026-04-21,8046,南電,加碼,243000,8852000,3.81
2026-04-21,8210,勤誠,加碼,1000,1006000,0.56
2026-04-21,8358,金居,加碼,50000,5558000,1.19
2026-04-22,1303,南亞,加碼,1000,8015000,0.37
2026-04-22,1319,東陽,加碼,1000,508000,0.02
2026-04-22,1815,富喬,加碼,1000,107000,0.01
2026-04-22,2002,中鋼,加碼,1000,5160000,0.05
2026-04-22,2303,聯電,加碼,384000,29889000,1.22
2026-04-22,2308,台達電,加碼,20000,5839000,6.11
2026-04-22,2313,華通,加碼,50000,764000,0.1
2026-04-22,2317,鴻海,新進,6715000,6715000,0.77
2026-04-22,2327,國巨*,加碼,50000,14288000,2.34
2026-04-22,2330,台積電,加碼,150000,8218000,8.75
2026-04-22,2345,智邦,加碼,62000,4902000,5.6
2026-04-22,2357,華碩,加碼,1000,15000,0.0
2026-04-22,2383,台光電,加碼,323000,3681000,7.77
2026-04-22,2404,漢唐,加碼,1000,1058000,0.55
2026-04-22,2439,美律,加碼,1000,15000,0.0
2026-04-22,2449,京元電子,加碼,130000,10180000,1.52
2026-04-22,2454,聯發科,加碼,520000,3194000,3.81
2026-04-22,2481,強茂,加碼,1000,3651000,0.2
2026-04-22,3008,大立光,加碼,1000,15000,0.02
2026-04-22,3017,奇鋐,加碼,60000,3727000,5.22
2026-04-22,3189,景碩,加碼,36000,2862000,0.73
2026-04-22,3211,順達,加碼,20000,3880000,0.84
2026-04-22,3217,優群,加碼,150000,780000,0.07
