股票代號,股票名稱,股數,權重
2330,台積電,71000,5.9332
6274,台燿,150000,5.8414
6223,旺矽,27000,5.7741
3017,奇鋐,53000,5.2363
6187,萬潤,97000,4.8516
3665,貿聯 -KY,48000,4.6731
2360,致茂,47000,4.363
6683,雍智科技,52000,4.003
2383,台光電,25000,3.9108
3443,創意,29000,3.8858
2308,台達電,51000,3.863
2345,智邦,42000,3.579
3363,上詮,92729,3.4317
3653,健策,18000,3.3826
3491,昇達科,46000,3.1624
8358,金居,201000,3.0408
8299,群聯,46000,2.973
3037,欣興,108000,2.8587
2368,金像電,59000,2.8538
2337,旺宏,340000,1.8335
8210,勤誠,43000,1.8055
2455,全新,127000,1.6233
7751,竑騰,18000,1.4042
6510,精測,9000,1.3856
6739,竹陞科技,21000,1.3486
6805,富世達,15000,1.1547
6442,光聖,13000,1.1533
2313,華通,65000,0.6997
