股票代號,股票名稱,股數,權重
2330,台積電,1025000,8.33
2454,聯發科,470000,6.28
2383,台光電,291000,5.23
6223,旺矽,238000,4.98
3037,欣興,1479000,4.84
3017,奇鋐,487000,4.65
2059,川湖,113000,4.3
6669,緯穎,186000,3.89
2360,致茂,541000,3.76
3653,健策,247000,3.71
3443,創意,190000,2.96
5274,信  驊,52400,2.94
6488,環球晶,911000,2.72
3665,貿聯-KY,354000,2.67
2308,台達電,446000,2.52
3008,大立光,154000,2.31
6187,萬  潤,596000,2.31
2408,南亞科,1119000,1.75
2345,智邦,227000,1.72
3036,文曄,2309000,1.67
2885,元大金,6026000,1.4
3044,健鼎,1034000,1.4
2449,京元電子,1644000,1.36
3711,日月光投控,608000,1.22
3529,力旺,122000,1.14
6274,台  燿,208000,1.03
7750,新  代,122000,0.97
8046,南電,260000,0.96
6239,力成,1030000,0.93
2891,中信金,3875000,0.87
2317,鴻海,960000,0.86
2313,華通,1107336,0.79
2881,富邦金,1699000,0.74
7769,鴻  勁,34000,0.74
6505,台塑化,2995000,0.73
2382,廣達,664000,0.68
5347,世界先進,1351000,0.66
3211,順  達,549000,0.64
6442,光  聖,112000,0.51
6515,穎崴,21000,0.49
1303,南亞,615000,0.4
3293,鈊  象,133000,0.36
5434,崇越,200000,0.34
3090,日電貿,592000,0.31
3374,精  材,271000,0.28
6121,新  普,178000,0.23
6715,嘉  基,140000,0.16
2385,群光,338000,0.12
9939,宏全,180000,0.09
2303,聯電,54000,0.02
