股票代號,股票名稱,股數,權重
2330,台積電,928000,8.88
2454,聯發科,440000,6.82
2383,台光電,281000,5.79
6223,旺矽,171000,4.29
6488,環球晶,853000,4.07
6669,緯穎,203000,3.98
3017,奇鋐,398000,3.59
3037,欣興,1071000,3.59
2308,台達電,446000,3.26
2327,國巨,898000,3.1
2360,致茂,404000,2.91
2059,川湖,78000,2.45
3665,貿聯-KY,331000,2.44
2345,智邦,227000,2.13
5274,信  驊,37400,2.03
3044,健鼎,1034000,1.89
2303,聯電,2962000,1.87
2408,南亞科,1218000,1.87
5347,世界先進,2701000,1.85
2368,金像電,382000,1.7
3711,日月光投控,608000,1.47
3443,創意,79000,1.35
2357,華碩,481000,1.28
3036,文曄,1497000,1.22
2376,技嘉,919000,1.19
8210,勤  誠,250000,1.16
2885,元大金,4012000,1.11
1590,亞德客-KY,193000,1.01
2382,廣達,664000,0.97
6147,頎邦,1234000,0.96
6515,穎崴,27000,0.81
3231,緯創,1401000,0.8
3653,健策,63000,0.78
6274,台  燿,122000,0.78
6510,精  測,70000,0.77
6285,啟  碁,730000,0.71
3090,日電貿,602000,0.71
2404,漢唐,126000,0.59
6187,萬  潤,152000,0.56
2313,華通,544000,0.47
2481,強  茂,565000,0.46
6442,光  聖,77000,0.44
1303,南亞,615000,0.43
2881,富邦金,817000,0.4
5434,崇越,200000,0.39
3293,鈊  象,133000,0.39
3374,精  材,271000,0.34
6121,新  普,178000,0.31
7769,鴻  勁,13000,0.31
3131,弘  塑,25000,0.3
8046,南電,66000,0.28
6715,嘉  基,140000,0.24
2472,立隆電,108000,0.15
2385,群光,338000,0.14
8150,南茂,236000,0.1
6139,亞  翔,12000,0.04
6239,力成,25000,0.03
