股票代號,股票名稱,股數,權重
2454,聯發科,440000,8.73
2330,台積電,770000,8.23
2383,台光電,332000,7.19
2308,台達電,522000,5.67
2360,致茂,404000,4.74
3037,欣興,850000,3.7
6669,緯穎,140000,3.49
2059,川湖,137000,3.28
2345,智邦,260000,2.92
6488,環球晶,748000,2.92
5274,信  驊,34000,2.78
3017,奇鋐,221000,2.68
3044,健鼎,1034000,2.37
2368,金像電,382000,2.31
2327,國巨,660000,2.2
2408,南亞科,1218000,2.16
2357,華碩,481000,1.92
3036,文曄,1497000,1.89
6223,旺矽,69000,1.88
8210,勤  誠,250000,1.59
2376,技嘉,919000,1.54
6147,頎邦,1234000,1.5
6285,啟  碁,1030000,1.37
2382,廣達,664000,1.2
2885,元大金,4012000,1.15
1590,亞德客-KY,193000,1.13
2891,中信金,3533000,1.08
3665,貿聯-KY,107000,1.03
1519,華  城,235000,0.96
3711,日月光投控,358000,0.95
6274,台  燿,122000,0.93
1303,南亞,1840000,0.92
6187,萬  潤,152000,0.76
3702,大聯大,1416000,0.74
2404,漢唐,126000,0.69
3081,聯  亞,60000,0.69
8069,元太,705000,0.68
2313,華通,544000,0.65
3131,弘  塑,42000,0.6
3293,鈊  象,133000,0.48
6515,穎崴,12000,0.47
6278,台表科,476000,0.45
7769,鴻  勁,13000,0.43
2881,富邦金,817000,0.42
5434,崇越,200000,0.42
4749,新應材,90000,0.41
6121,新  普,178000,0.33
3374,精  材,271000,0.31
6715,嘉  基,140000,0.29
2385,群光,338000,0.22
6239,力成,25000,0.04
