股票代號,股票名稱,股數,權重
2330,台積電,958000,8.88
2454,聯發科,440000,6.21
2383,台光電,291000,5.41
2360,致茂,665000,5.16
3017,奇鋐,457000,4.08
3037,欣興,1250000,3.97
6488,環球晶,853000,3.95
6669,緯穎,203000,3.91
6223,旺矽,171000,3.87
2059,川湖,113000,3.47
2308,台達電,446000,3.15
3443,創意,190000,3.01
3665,貿聯-KY,354000,2.72
5274,信  驊,46400,2.52
2345,智邦,227000,1.94
2408,南亞科,1218000,1.9
3044,健鼎,1034000,1.61
2327,國巨,581000,1.5
3711,日月光投控,608000,1.48
2357,華碩,481000,1.36
6510,精  測,132000,1.34
6187,萬  潤,349000,1.34
2376,技嘉,919000,1.21
8046,南電,258000,1.18
3036,文曄,1497000,1.13
8210,勤  誠,250000,1.12
4958,臻鼎-KY,542000,1.06
2303,聯電,2006000,1.04
1590,亞德客-KY,193000,1.01
6505,台塑化,2995000,0.98
2368,金像電,260000,0.98
2885,元大金,4012000,0.95
2317,鴻海,960000,0.91
2313,華通,1107336,0.89
3653,健策,63000,0.85
2382,廣達,664000,0.83
6147,頎邦,1234000,0.82
5347,世界先進,1351000,0.81
3231,緯創,1401000,0.81
3211,順  達,549000,0.8
2404,漢唐,126000,0.56
1303,南亞,615000,0.46
5434,崇越,200000,0.42
3090,日電貿,592000,0.4
3374,精  材,271000,0.4
2881,富邦金,817000,0.39
6442,光  聖,77000,0.37
3293,鈊  象,133000,0.37
7769,鴻  勁,13000,0.33
2481,強  茂,565000,0.31
6121,新  普,178000,0.25
6715,嘉  基,140000,0.21
3167,大  量,61000,0.17
2385,群光,338000,0.14
8150,南茂,236000,0.09
9939,宏全,180000,0.09
6139,亞  翔,12000,0.04
6239,力成,25000,0.03
