股票代號,股票名稱,股數,權重
2330,台積電,770000,7.73
2383,台光電,332000,7.48
2454,聯發科,440000,7.32
2327,國巨,898000,3.91
2308,台達電,459000,3.56
3037,欣興,850000,3.55
6223,旺矽,127000,3.54
2360,致茂,404000,3.53
6488,環球晶,853000,3.42
3017,奇鋐,332000,3.21
6669,緯穎,140000,2.57
2408,南亞科,1218000,2.35
2059,川湖,78000,2.34
2345,智邦,227000,2.32
5274,信  驊,34000,2.28
3044,健鼎,1034000,2.25
2303,聯電,2962000,2.08
2368,金像電,382000,1.95
5347,世界先進,2154000,1.87
3711,日月光投控,608000,1.65
2357,華碩,481000,1.45
3036,文曄,1497000,1.38
8210,勤  誠,250000,1.32
2376,技嘉,919000,1.26
1303,南亞,1840000,1.17
2344,華邦電,1302000,1.15
6147,頎邦,1234000,1.15
2885,元大金,4012000,1.14
1590,亞德客-KY,193000,1.13
2382,廣達,664000,1.03
6510,精  測,70000,0.98
3653,健策,63000,0.92
3231,緯創,1401000,0.92
3665,貿聯-KY,107000,0.85
6274,台  燿,122000,0.83
3090,日電貿,602000,0.8
1519,華  城,235000,0.79
6285,啟  碁,730000,0.74
2404,漢唐,126000,0.72
6187,萬  潤,152000,0.7
3131,弘  塑,42000,0.6
2313,華通,544000,0.52
3443,創意,25000,0.47
2881,富邦金,817000,0.47
3293,鈊  象,133000,0.42
2481,強  茂,565000,0.42
6515,穎崴,12000,0.42
5434,崇越,200000,0.42
7769,鴻  勁,13000,0.36
4749,新應材,90000,0.34
3374,精  材,271000,0.32
8046,南電,66000,0.32
6121,新  普,178000,0.32
6715,嘉  基,140000,0.27
2385,群光,338000,0.15
6139,亞  翔,12000,0.05
6239,力成,25000,0.03
