股票代號,股票名稱,股數,權重
6274,台燿,150000,6.08
3017,奇鋐,86000,6.0582
2330,台積電,90000,5.6733
2383,台光電,41000,5.616
6187,萬潤,148000,5.0474
2308,台達電,80000,4.9087
3037,欣興,183000,4.4761
6223,旺矽,27000,4.1361
2360,致茂,60000,4.0925
6805,富世達,76000,3.9303
3665,貿聯 -KY,48000,3.7235
8299,群聯,46000,3.504
6683,雍智科技,52000,3.445
8155,博智,262000,3.0761
2345,智邦,42000,2.9645
3443,創意,19000,2.9584
8358,金居,201000,2.6801
3363,上詮,92729,2.3848
2368,金像電,59000,2.2925
3491,昇達科,46000,2.2696
6739,竹陞科技,60000,2.2559
3653,健策,18000,1.9724
3081,聯亞,20000,1.708
8028,昇陽半導體,255000,1.7001
6669,緯穎,10000,1.6185
6781,AES-KY,42000,1.5087
2408,南亞科,161000,1.4447
2455,全新,127000,1.3313
6510,精測,9000,0.9711
