股票代號,股票名稱,股數,權重
2330,台積電,90000,8.1549
3037,欣興,166000,7.3646
3017,奇鋐,58000,7.2834
2383,台光電,29000,5.9968
6223,旺矽,27000,5.167
3081,聯亞,37800,4.7894
2454,聯發科,32000,4.6501
3443,創意,20000,4.4515
8046,南電,91000,4.4307
6805,富世達,52000,4.35
6274,台燿,75000,4.0746
3665,貿聯 -KY,50000,3.8631
3653,健策,18000,3.8203
2408,南亞科,167000,3.3968
2455,全新,205000,3.3373
7769,鴻勁,12000,2.8627
6187,萬潤,47000,2.5269
3363,上詮,92729,2.4544
6683,雍智科技,52000,2.4341
2345,智邦,28000,2.2002
8358,金居,114000,2.1173
6739,竹陞科技,50000,2.0585
2308,台達電,28000,1.8633
6515,穎崴,8000,1.8363
8996,高力,35000,1.7238
5274,信驊,300,0.1726
