股票代號,股票名稱,股數,權重
3017,奇鋐,86000,6.1788
6274,台燿,150000,6.1372
2330,台積電,90000,5.6563
2383,台光電,41000,5.5916
2308,台達電,80000,5.0503
3443,創意,29000,4.6727
6187,萬潤,148000,4.6195
3037,欣興,183000,4.4307
6805,富世達,76000,4.2635
2360,致茂,60000,3.9818
3665,貿聯 -KY,48000,3.921
6223,旺矽,27000,3.7848
8299,群聯,46000,3.4537
6683,雍智科技,52000,3.3193
8155,博智,262000,3.0943
2345,智邦,42000,3.0589
8358,金居,201000,2.6113
6739,竹陞科技,60000,2.4296
3491,昇達科,46000,2.3542
2368,金像電,59000,2.3227
3363,上詮,92729,2.2242
3653,健策,18000,2.0322
8028,昇陽半導體,255000,1.6779
3081,聯亞,20000,1.5635
6669,緯穎,10000,1.5016
2408,南亞科,161000,1.3627
2455,全新,127000,1.2856
6781,AES-KY,27000,1.0022
6510,精測,9000,0.9592
