股票代號,股票名稱,股數,權重
2330,台積電,90000,8.6437
3017,奇鋐,86000,7.9511
2383,台光電,34000,6.5444
6223,旺矽,27000,6.3214
3037,欣興,190000,6.2467
3665,貿聯 -KY,50000,3.9851
3443,創意,24000,3.9357
2408,南亞科,240000,3.8735
6274,台燿,75000,3.6912
8046,南電,76000,3.6041
2454,聯發科,24000,3.5101
6139,亞翔,96000,3.118
6488,環球晶,55000,2.6411
3167,大量,88000,2.5565
3653,健策,18000,2.525
2345,智邦,28000,2.4772
6683,雍智科技,52000,2.4245
2455,全新,205000,2.41
8028,昇陽半導體,176000,2.1392
4764,雙鍵,171000,1.9967
3363,上詮,92729,1.9327
8358,金居,114000,1.7922
6271,同欣電,213000,1.7019
3081,聯亞,4800,0.2898
5274,信驊,300,0.1686
