股票代號,股票名稱,股數,權重
3037,欣興,190000,8.0934
2330,台積電,90000,7.9688
2383,台光電,34000,7.8486
3017,奇鋐,58000,6.5487
6223,旺矽,27000,5.2935
3443,創意,23000,4.7361
2454,聯發科,32000,4.625
2408,南亞科,240000,4.5982
6274,台燿,75000,4.3108
8046,南電,91000,4.2149
3665,貿聯 -KY,50000,4.1667
3081,聯亞,37800,4.1133
6805,富世達,52000,3.7917
3653,健策,18000,3.4487
2455,全新,205000,3.1841
7769,鴻勁,12000,2.913
6683,雍智科技,52000,2.4375
2345,智邦,28000,2.3177
3363,上詮,92729,2.0216
2308,台達電,28000,1.8958
6515,穎崴,8000,1.8795
6739,竹陞科技,50000,1.8452
8358,金居,114000,1.7643
8996,高力,35000,1.53
6187,萬潤,26000,1.2188
5274,信驊,300,0.1903
