股票代號,股票名稱,股數,權重
2330,台積電,90000,6.5754
3017,奇鋐,86000,6.5416
3037,欣興,223000,6.3618
2383,台光電,41000,6.2632
6274,台燿,130000,5.8796
6187,萬潤,170000,5.8337
2308,台達電,80000,5.6044
6223,旺矽,27000,5.5379
6805,富世達,76000,4.3868
2360,致茂,60000,4.3551
3665,貿聯 -KY,50000,3.653
8299,群聯,46000,3.3608
8155,博智,262000,2.9127
3081,聯亞,37000,2.5686
6683,雍智科技,52000,2.3765
8996,高力,64000,2.3177
2455,全新,205000,2.2823
2454,聯發科,17000,2.2475
3363,上詮,92729,2.1615
3653,健策,18000,2.1007
8358,金居,114000,2.0696
2345,智邦,28000,2.0678
2408,南亞科,161000,1.9044
5274,信驊,3000,1.7501
6139,亞翔,65000,1.6549
2368,金像電,35000,1.4612
3491,昇達科,23000,1.2294
4764,雙鍵,118000,0.9815
3167,大量,36000,0.9177
