股票代號,股票名稱,股數,權重
2330,台積電,90000,8.4956
3037,欣興,166000,7.1493
3017,奇鋐,58000,6.7296
2383,台光電,29000,6.3818
6223,旺矽,27000,5.9469
2454,聯發科,32000,4.7009
3081,聯亞,37800,4.4007
3443,創意,20000,4.3815
6274,台燿,75000,4.3806
8046,南電,91000,4.1518
3665,貿聯 -KY,50000,4.0807
6805,富世達,52000,3.7735
3653,健策,18000,3.685
2455,全新,205000,3.3824
2408,南亞科,167000,3.3499
7769,鴻勁,12000,2.931
6187,萬潤,47000,2.3477
6683,雍智科技,52000,2.3111
3363,上詮,92729,2.2722
2345,智邦,28000,2.2356
6515,穎崴,8000,1.9682
8358,金居,114000,1.9236
6739,竹陞科技,50000,1.8879
2308,台達電,28000,1.8832
8996,高力,35000,1.6726
5274,信驊,300,0.1817
