股票代號,股票名稱,股數,權重
2330,台積電,90000,9.1783
3017,奇鋐,86000,8.3906
2383,台光電,34000,6.7846
3037,欣興,190000,6.2883
6223,旺矽,27000,5.9952
3443,創意,34000,5.4405
2454,聯發科,32000,4.7841
3665,貿聯 -KY,50000,4.4157
2408,南亞科,240000,3.6385
8046,南電,91000,3.5208
6274,台燿,75000,3.501
6139,亞翔,96000,2.8543
3653,健策,18000,2.6078
7769,鴻勁,10000,2.5989
2455,全新,205000,2.5173
2345,智邦,28000,2.5022
6683,雍智科技,52000,2.0272
3363,上詮,92729,1.8738
4764,雙鍵,171000,1.8697
8028,昇陽半導體,176000,1.8134
8358,金居,114000,1.4287
6739,竹陞科技,20000,0.6905
3081,聯亞,4800,0.329
5274,信驊,300,0.1832
