股票代號,股票名稱,股數,權重
3017,奇鋐,86000,6.9953
3037,欣興,223000,6.3534
6274,台燿,130000,6.2779
2330,台積電,90000,6.2181
2383,台光電,41000,5.642
2308,台達電,80000,5.5956
6187,萬潤,170000,5.1583
6223,旺矽,27000,4.5386
6805,富世達,76000,4.5146
2360,致茂,60000,4.3505
8358,金居,201000,3.5219
8299,群聯,46000,3.5189
2345,智邦,42000,3.0932
3081,聯亞,37000,2.9833
8155,博智,262000,2.9485
3491,昇達科,46000,2.6474
6683,雍智科技,52000,2.5408
2455,全新,205000,2.418
3363,上詮,92729,2.3355
6739,竹陞科技,60000,2.2308
2454,聯發科,17000,2.2013
3653,健策,18000,2.0026
8996,高力,60000,1.8718
2408,南亞科,161000,1.8417
5274,信驊,3000,1.5368
2368,金像電,35000,1.3811
3665,貿聯 -KY,16000,1.0507
4764,雙鍵,118000,0.9934
