股票代號,股票名稱,股數,權重
2330,台積電,1794000,8.2178
5536,聖暉*,3736000,7.7427
2454,聯發科,872000,6.6207
6669,緯穎,510000,6.1886
6139,亞翔,3775000,6.1126
2345,智邦,817000,3.8136
6223,旺矽,307000,3.7461
2059,川湖,185000,3.619
2383,台光電,327000,3.3599
2360,致茂,837000,3.2018
3105,穩懋,4276000,3.1637
4958,臻鼎-KY,3178000,2.9669
3491,昇達科,988000,2.5834
6531,愛普*,1440000,2.5102
3017,奇鋐,407000,2.3176
3008,大立光,248000,2.2216
2303,聯電,9109000,2.1436
3264,欣銓,4780000,1.9581
6257,矽格,4821000,1.9329
6488,環球晶,1134000,1.9152
2377,微星,5678000,1.6936
3583,辛耘,1158000,1.653
2467,志聖,1505000,1.5128
3702,大聯大,5678000,1.3802
8016,矽創,2270000,1.3563
6274,台燿,450000,1.3335
3711,日月光投控,1016000,1.1708
7769,鴻勁,93000,1.1663
2316,楠梓電,3471000,1.0924
3036,文曄,2404000,1.0872
1785,光洋科,4384000,0.9765
5274,信驊,29900,0.97
8996,高力,382000,0.8397
2327,國巨*,708000,0.7816
2351,順德,2316000,0.7693
6278,台表科,2310000,0.727
2376,技嘉,1073000,0.7149
2472,立隆電,1535000,0.7076
3529,力旺,93000,0.4791
6831,邁科,300000,0.3811
6239,力成,710000,0.3706
2451,創見,521000,0.2956
2885,元大金,2128420,0.2766
6187,萬潤,91000,0.2071
3231,緯創,91000,0.0334
6177,達麗,194350,0.0179
3443,創意,1000,0.0086
2368,金像電,2000,0.0038
8046,南電,1000,0.0021
4441,振大環球,4000,0.0014
1519,華城,660,0.0008
8358,金居,1000,0.0007
3706,神達,1400,0.0002
2886,兆豐金,1000,0.0
2881,富邦金,250,0.0
