股票代號,股票名稱,股數,權重
2330,台積電,1794000,8.5284
2454,聯發科,872000,6.7667
6669,緯穎,510000,6.5196
6139,亞翔,4025000,6.287
2059,川湖,185000,5.31
5536,聖暉*,2848000,5.0572
2383,台光電,327000,4.0528
2360,致茂,837000,3.8536
2345,智邦,817000,3.6309
3105,穩懋,4809000,3.5973
6223,旺矽,307000,3.2316
4958,臻鼎-KY,3178000,3.0088
3008,大立光,248000,2.6204
3017,奇鋐,412000,2.4976
3491,昇達科,1000000,2.4967
6531,愛普*,1440000,2.4822
6488,環球晶,1134000,2.4009
2303,聯電,9109000,2.1651
3264,欣銓,4780000,2.0097
2467,志聖,1505000,1.6954
2377,微星,5678000,1.6785
3583,辛耘,1158000,1.6237
6274,台燿,450000,1.3887
6257,矽格,3230000,1.2871
3711,日月光投控,1016000,1.2156
5274,信驊,33900,1.1548
8996,高力,382000,0.8965
8016,矽創,1521000,0.8749
3702,大聯大,3804000,0.8092
7769,鴻勁,62000,0.808
2316,楠梓電,2326000,0.7387
2376,技嘉,944000,0.6561
3036,文曄,1611000,0.65
1785,光洋科,2937000,0.5866
6278,台表科,1648000,0.5661
2351,順德,1552000,0.5456
2327,國巨*,466000,0.5361
2301,光寶科,879000,0.4801
3231,緯創,1299000,0.4696
2395,研華,344000,0.4665
2472,立隆電,1020000,0.4655
3265,台星科,1358000,0.4638
6214,精誠,1319000,0.4636
2455,全新,555000,0.4628
5483,中美晶,1242000,0.4589
3529,力旺,93000,0.4346
6831,邁科,300000,0.3924
6239,力成,710000,0.3765
2885,元大金,2213556,0.2829
8070,長華*,2075000,0.2254
2451,創見,349000,0.1951
6446,藥華藥,42000,0.1174
6672,騰輝電子-KY,203000,0.1167
5425,台半,639000,0.1167
6213,聯茂,119000,0.1159
2476,鉅祥,481000,0.1148
2428,興勤,226000,0.1137
6196,帆宣,113000,0.1135
3617,碩天,221000,0.1127
2478,大毅,460000,0.1125
3090,日電貿,346000,0.1116
6177,達麗,194350,0.019
3443,創意,1000,0.011
8046,南電,1000,0.0024
2368,金像電,1000,0.0021
4441,振大環球,4000,0.0015
1519,華城,660,0.0009
8358,金居,1000,0.0008
3706,神達,1400,0.0002
2886,兆豐金,1000,0.0
2881,富邦金,250,0.0
