股票代號,股票名稱,股數,權重
2330,台積電,1967000,8.8335
5536,聖暉*,3754000,8.4116
2454,聯發科,867000,7.281
6139,亞翔,2941000,4.4634
3105,穩懋,4143000,4.0487
4958,臻鼎-KY,3147000,3.7865
2345,智邦,804000,3.7771
6223,旺矽,307000,3.7112
2360,致茂,823000,3.4557
2383,台光電,330000,3.2311
6669,緯穎,296000,2.8313
3491,昇達科,967000,2.8222
2303,聯電,9007000,2.3743
6488,環球晶,1146000,2.3736
2059,川湖,183000,2.2811
3008,大立光,201000,1.9472
6257,矽格,4687000,1.8886
3264,欣銓,4628000,1.843
3017,奇鋐,407000,1.8124
3583,辛耘,1121000,1.7456
2472,立隆電,2370000,1.631
2467,志聖,1461000,1.6093
2327,國巨*,853000,1.5804
1785,光洋科,5527000,1.4934
2377,微星,5688000,1.4673
6274,台燿,440000,1.3835
7769,鴻勁,93000,1.2835
8016,矽創,2211000,1.2302
2316,楠梓電,3374000,1.188
3711,日月光投控,1008000,1.1293
3702,大聯大,5420000,1.092
8996,高力,376000,1.0726
6285,啟碁,2014000,1.0258
2368,金像電,392000,1.0112
6147,頎邦,2300000,0.9939
3036,文曄,2311000,0.9747
6531,愛普*,554000,0.9732
6278,台表科,2201000,0.8475
2376,技嘉,1064000,0.6962
6239,力成,700000,0.4547
6805,富世達,121000,0.3907
5274,信驊,9000,0.3132
2351,順德,900000,0.305
2451,創見,519000,0.3039
2885,元大金,2114420,0.2655
6187,萬潤,91000,0.1979
3376,新日興,359000,0.1335
6177,達麗,194350,0.0176
3443,創意,1000,0.0095
8046,南電,1000,0.0016
4441,振大環球,4000,0.0015
8358,金居,1000,0.0012
1519,華城,600,0.0009
3706,神達,1400,0.0002
2886,兆豐金,1000,0.0
2881,富邦金,250,0.0
