股票代號,股票名稱,股數,權重
2330,台積電,1967000,8.8137
5536,聖暉*,3754000,8.037
2454,聯發科,867000,7.0633
6139,亞翔,2940000,4.5007
2360,致茂,823000,3.9995
3105,穩懋,4143000,3.7952
2345,智邦,804000,3.7929
3491,昇達科,967000,3.5451
6223,旺矽,307000,3.3532
6669,緯穎,296000,3.1741
2383,台光電,330000,3.0542
6147,頎邦,5916000,3.0263
4958,臻鼎-KY,3147000,3.005
2303,聯電,9007000,2.244
6285,啟碁,4029000,2.2289
3017,奇鋐,407000,2.0048
6257,矽格,4687000,1.9802
3264,欣銓,4508000,1.9516
2059,川湖,183000,1.9485
2472,立隆電,2790000,1.9214
3583,辛耘,1121000,1.8435
6488,環球晶,1146000,1.7608
2467,志聖,1461000,1.6054
2377,微星,5688000,1.5248
1785,光洋科,5527000,1.4293
3008,大立光,201000,1.4014
6274,台燿,440000,1.3421
7769,鴻勁,93000,1.2818
8016,矽創,2211000,1.2713
3036,文曄,2311000,1.2303
2327,國巨*,823000,1.199
3702,大聯大,5420000,1.1757
3711,日月光投控,1008000,1.1019
2316,楠梓電,3374000,1.0675
6531,愛普*,554000,1.0601
2368,金像電,392000,0.9766
6278,台表科,2201000,0.8611
8996,高力,376000,0.8014
2376,技嘉,1064000,0.7438
2351,順德,1350000,0.5128
6805,富世達,121000,0.447
2451,創見,519000,0.3161
5274,信驊,9000,0.2984
2885,元大金,2114420,0.2615
3376,新日興,359000,0.1612
6177,達麗,194350,0.0167
3443,創意,1000,0.0083
4441,振大環球,4000,0.0016
8046,南電,1000,0.0016
8358,金居,1000,0.0011
1519,華城,600,0.0009
3665,貿聯-KY,136,0.0005
3706,神達,1400,0.0002
2886,兆豐金,1000,0.0
2881,富邦金,250,0.0
