股票代號,股票名稱,股數,權重
2330,台積電,1747000,8.0156
5536,聖暉*,3602000,7.0722
6669,緯穎,513000,5.9161
2383,台光電,515000,5.2474
3105,穩懋,4118000,4.2171
2454,聯發科,573000,4.1389
2345,智邦,805000,4.0512
3264,欣銓,8512000,4.0462
2360,致茂,806000,4.0062
6223,旺矽,318000,3.7593
2308,台達電,774000,3.4632
3491,昇達科,953000,3.3877
6139,亞翔,2199000,3.1177
6257,矽格,7074000,3.0995
2059,川湖,246000,2.6692
4958,臻鼎-KY,2770000,2.5332
6147,頎邦,5888000,2.3364
6285,啟碁,3984000,2.2272
6488,環球晶,1242000,1.9251
3017,奇鋐,344000,1.8378
3583,辛耘,893000,1.7828
2467,志聖,1340000,1.7336
2303,聯電,8084000,1.644
1785,光洋科,5150000,1.6391
2472,立隆電,3126000,1.5085
6805,富世達,325000,1.2292
3533,嘉澤,200000,1.0726
5289,宜鼎,292000,1.0651
3030,德律,1208000,1.0336
3711,日月光投控,888000,1.0057
6510,精測,126000,0.983
6274,台燿,303000,0.908
8996,高力,389000,0.824
2404,漢唐,384000,0.8134
2347,聯強,4151000,0.7129
3211,順達,858000,0.6915
3131,弘塑,95000,0.5939
2313,華通,1160000,0.5681
2368,金像電,175000,0.4882
3665,貿聯-KY,64136,0.3313
4938,和碩,1345000,0.2273
5274,信驊,6000,0.2209
8046,南電,107000,0.1946
6177,達麗,1862350,0.1791
3376,新日興,371000,0.1533
2885,元大金,1150420,0.1326
8464,億豐,148000,0.1023
1319,東陽,355000,0.0586
4441,振大環球,62000,0.0276
3443,創意,1000,0.011
2548,華固,30600,0.0078
1519,華城,600,0.0011
8358,金居,1000,0.0009
3706,神達,1400,0.0002
2886,兆豐金,1000,0.0
2881,富邦金,250,0.0
