股票代號,股票名稱,股數,權重
2330,台積電,1548000,8.6821
5536,聖暉*,3355000,7.4318
6669,緯穎,491000,6.1203
2383,台光電,457000,5.2203
3105,穩懋,3946000,5.0963
3264,欣銓,8078000,4.1461
2345,智邦,719000,4.0881
6139,亞翔,2278000,3.9325
3017,奇鋐,538000,3.924
2308,台達電,690000,3.8433
2360,致茂,724000,3.8278
2454,聯發科,573000,3.796
6223,旺矽,276000,3.5113
6257,矽格,6338000,2.8943
6147,頎邦,6546000,2.6609
4958,臻鼎-KY,2654000,2.6151
3491,昇達科,539000,2.1563
1785,光洋科,4611000,2.0641
2467,志聖,1199000,1.7089
6805,富世達,311000,1.6562
6285,啟碁,3000000,1.644
2059,川湖,106000,1.1344
6510,精測,121000,1.13
8996,高力,373000,1.0939
3030,德律,1135000,1.0059
2303,聯電,5045000,0.9669
6488,環球晶,683000,0.9418
5289,宜鼎,274000,0.9269
2404,漢唐,368000,0.9079
2347,聯強,3693000,0.7914
3533,嘉澤,111000,0.7567
3583,辛耘,372000,0.7388
3211,順達,780000,0.7274
3131,弘塑,89000,0.6571
2313,華通,1033000,0.6112
6274,台燿,223000,0.5593
2472,立隆電,1210000,0.5525
2368,金像電,155000,0.5423
3711,日月光投控,349000,0.4386
3665,貿聯-KY,58136,0.4158
4938,和碩,1236000,0.2607
6691,洋基工程,159000,0.2601
5274,信驊,6000,0.2555
8046,南電,103000,0.2427
3529,力旺,23000,0.2307
6177,達麗,1784350,0.2116
3376,新日興,355000,0.1872
2885,元大金,1102420,0.1483
8464,億豐,142000,0.1284
1319,東陽,355000,0.0683
4441,振大環球,59000,0.028
3443,創意,1000,0.0105
2548,華固,29600,0.0097
1519,華城,600,0.0013
8358,金居,1000,0.0009
3706,神達,1400,0.0002
2886,兆豐金,1000,0.0001
2881,富邦金,250,0.0
