股票代號,股票名稱,股數,權重
MU US,美光科技公司,1600,8.3549
2330,台積電,22000,7.7382
GOOGL US,Alphabet 公司,4500,7.6262
AVGO US,博通公司,3900,7.3873
NVDA US,輝達,6500,6.3062
LRCX US,科林研發股份有限公司,2021,3.6205
LITE US,魯門特姆控股公司,900,3.5227
IFX GY,英飛凌科技股份有限公司,8000,3.4802
AMZN US,AMAZON. COM INC,3000,3.3761
GEV US,奇異維諾瓦公司,650,3.3216
CRWD US,Crowdstrike控股公司,938,2.9581
GS US,高盛集團,550,2.7772
4062 JT,Ibiden Co Ltd,3500,2.5801
COHR US,連貫公司,1300,2.3321
CAT US,Caterpillar Inc,500,2.2698
SNDK US,晟碟公司（德拉瓦州）,220,2.2133
HWM US,Howmet航太公司,1700,2.1736
AMD US,超微半導體公司,850,2.1033
ENR GY,Siemens Energy AG,2200,1.9762
ETN US,伊頓公開有限公司,1000,1.9422
WMT UN,沃爾瑪公司,3400,1.8351
LLY US,禮來公司,350,1.7705
MSFT US,Microsoft Corp,1000,1.7471
SU FP,施奈德電機公司,950,1.4664
GLEN LN,嘉能可公司,40000,1.3878
6981 JT,村田製作所有限公司,3800,1.2794
NET US,Cloudflare公司,1200,1.2381
8306 JT,三菱UFJ金融集團公司,12000,1.1607
MRVL US,Marvell Technology Inc,800,1.1441
6506 JT,安川電機公司,5000,1.0396
TSLA US,特斯拉公司,550,1.0143
SNOW US,Snowflake公司,800,0.8557
