股票代號,股票名稱,股數,權重
2330,台積電,22000,8.0647
MU US,美光科技公司,1300,7.2715
GOOGL US,Alphabet 公司,4000,6.927
NVDA US,輝達,5700,5.5267
AVGO US,博通公司,3000,5.4915
LRCX US,科林研發股份有限公司,2021,4.2438
GEV US,奇異維諾瓦公司,650,3.7005
IFX GY,英飛凌科技股份有限公司,8000,3.6101
CRWD US,Crowdstrike控股公司,938,3.4687
LITE US,魯門特姆控股公司,800,3.3264
AMZN US,AMAZON. COM INC,2800,3.2339
CAT US,Caterpillar Inc,550,2.8382
GS US,高盛集團,550,2.6955
AMD US,超微半導體公司,899,2.5307
4062 JT,Ibiden Co Ltd,3500,2.49
COHR US,連貫公司,1300,2.485
SNDK US,晟碟公司（德拉瓦州）,220,2.424
LLY US,禮來公司,400,2.3249
HWM US,Howmet航太公司,1700,2.2148
ETN US,伊頓公開有限公司,1000,2.0649
ENR GY,Siemens Energy AG,2200,2.0155
MSFT US,Microsoft Corp,1000,1.8076
6981 JT,村田製作所有限公司,5000,1.702
MRVL US,Marvell Technology Inc,1100,1.5879
6506 JT,安川電機公司,7500,1.5744
SU FP,施奈德電機公司,950,1.4981
NET US,Cloudflare公司,1200,1.4263
GLEN LN,嘉能可公司,40000,1.3187
8306 JT,三菱UFJ金融集團公司,12000,1.1497
TSLA US,特斯拉公司,550,1.121
SNOW US,Snowflake公司,850,1.0483
WMT UN,沃爾瑪公司,1800,0.9874
