股票代號,股票名稱,股數,權重
2330,台積電,22000,8.6582
GOOGL US,Alphabet 公司,3700,7.4459
NVDA US,輝達,5200,5.7894
AVGO US,博通公司,2400,5.0719
AMZN US,AMAZON. COM INC,2800,4.2847
CRWD US,Crowdstrike控股公司,3752,4.0944
MU US,美光科技公司,800,3.5754
LITE US,魯門特姆控股公司,780,3.2775
AMD US,超微半導體公司,1200,3.1334
IFX GY,英飛凌科技股份有限公司,8000,3.0542
GS US,高盛集團,550,3.0435
LLY US,禮來公司,450,2.7188
GEV US,奇異維諾瓦公司,500,2.7121
LRCX US,科林研發股份有限公司,1700,2.6984
MSFT US,Microsoft Corp,1000,2.6274
HWM US,Howmet航太公司,1700,2.6227
ETN US,伊頓公開有限公司,1000,2.3611
COHR US,連貫公司,1300,2.0182
ENR GY,Siemens Energy AG,2200,2.0159
6506 JT,安川電機公司,11000,1.8655
NET US,Cloudflare公司,1200,1.828
SNOW US,Snowflake公司,1100,1.8226
6981 JT,村田製作所有限公司,7000,1.7226
SU FP,施奈德電機公司,950,1.7117
AMAT US,應用材料,600,1.6752
GLEN LN,嘉能可公司,40000,1.5636
JPM US,摩根大通銀行,800,1.52
8306 JT,三菱UFJ金融集團公司,12000,1.471
SNDK US,晟碟公司（德拉瓦州）,200,1.3879
CAT US,Caterpillar Inc,300,1.3416
AAPL US,蘋果公司,600,0.9809
MA US,萬事達卡,300,0.9229
TSEM US,塔爾半導體有限公司,600,0.7575
DDOG US,數據狗公司,300,0.4422
