股票代號,股票名稱,股數,權重
2330,台積電,22000,8.5309
GOOGL US,Alphabet 公司,3500,6.2211
NVDA US,輝達,5200,6.029
AVGO US,博通公司,2400,5.1663
CRWD US,Crowdstrike控股公司,3752,4.3053
AMZN US,AMAZON. COM INC,2800,3.8721
MU US,美光科技公司,800,3.772
LITE US,魯門特姆控股公司,780,3.7632
IFX GY,英飛凌科技股份有限公司,8000,3.0127
AMD US,超微半導體公司,1200,2.9984
GS US,高盛集團,550,2.9516
LRCX US,科林研發股份有限公司,1700,2.8684
LLY US,禮來公司,450,2.8412
GEV US,奇異維諾瓦公司,500,2.6902
MSFT US,Microsoft Corp,1000,2.5478
HWM US,Howmet航太公司,1700,2.4771
COHR US,連貫公司,1300,2.3921
ETN US,伊頓公開有限公司,1000,2.3798
ENR GY,Siemens Energy AG,2200,2.1234
AMAT US,應用材料,700,1.9853
6506 JT,安川電機公司,11000,1.9476
NET US,Cloudflare公司,1200,1.9337
SNOW US,Snowflake公司,1100,1.891
6981 JT,村田製作所有限公司,7000,1.7129
SU FP,施奈德電機公司,900,1.6707
GLEN LN,嘉能可公司,40000,1.6016
JPM US,摩根大通銀行,800,1.5115
8306 JT,三菱UFJ金融集團公司,12000,1.4047
SNDK US,晟碟公司（德拉瓦州）,200,1.3911
MA US,萬事達卡,350,1.0136
TSEM US,塔爾半導體有限公司,750,1.0101
AAPL US,蘋果公司,600,0.9383
2454,聯發科,1000,0.6447
CRDO US,Credo Technology Group Holding,300,0.4162
DDOG US,數據狗公司,300,0.3739
