股票代號,股票名稱,股數,權重
2330,台積電,20000,8.5374
NVDA US,輝達,5000,6.4897
GOOGL US,Alphabet 公司,3000,5.8374
MU US,美光科技公司,800,4.355
AMZN US,AMAZON. COM INC,2800,4.1186
LITE US,魯門特姆控股公司,780,3.7552
CRWD US,Crowdstrike控股公司,3000,3.6641
AVGO US,博通公司,1800,3.6526
AMD US,超微半導體公司,1400,3.6283
GS US,高盛集團,550,3.2433
LLY US,禮來公司,450,2.9647
IFX GY,英飛凌科技股份有限公司,8000,2.929
MSFT US,Microsoft Corp,1000,2.8982
GEV US,奇異維諾瓦公司,500,2.6755
HWM US,Howmet航太公司,1700,2.516
LRCX US,科林研發股份有限公司,1500,2.4941
ETN US,伊頓公開有限公司,1000,2.2562
SNOW US,Snowflake公司,1100,2.2278
ENR GY,Siemens Energy AG,2200,2.1091
JPM US,摩根大通銀行,950,1.9542
COHR US,連貫公司,1300,1.9529
NET US,Cloudflare公司,1200,1.9397
GLEN LN,嘉能可公司,40000,1.8577
SNDK US,晟碟公司（德拉瓦州）,200,1.7669
6981 JT,村田製作所有限公司,7000,1.7467
AMAT US,應用材料,700,1.7336
SU FP,施奈德電機公司,900,1.7051
8306 JT,三菱UFJ金融集團公司,12000,1.6288
2454,聯發科,2000,1.5503
MA US,萬事達卡,350,1.1647
AAPL US,蘋果公司,600,1.1188
ASML NA,艾司摩爾控股公司,100,0.9385
TSEM US,塔爾半導體有限公司,750,0.8785
DDOG US,數據狗公司,500,0.6101
HOOD US,羅賓漢市場公司,741,0.5251
CRDO US,Credo Technology Group Holding,500,0.4664
