股票代號,股票名稱,股數,權重
MU US,美光科技公司,1850,9.2703
AVGO US,博通公司,3900,8.6752
2330,台積電,22000,7.8773
GOOGL US,Alphabet 公司,4500,7.4983
NVDA US,輝達,7000,6.9775
LITE US,魯門特姆控股公司,1100,4.7892
IFX GY,英飛凌科技股份有限公司,8000,3.7957
AMZN US,AMAZON. COM INC,3000,3.4815
CRWD US,Crowdstrike控股公司,938,3.255
LRCX US,科林研發股份有限公司,2021,3.2242
GEV US,奇異維諾瓦公司,650,2.8944
COHR US,連貫公司,1300,2.5188
AMD US,超微半導體公司,800,2.0145
MSFT US,Microsoft Corp,1000,1.9836
HWM US,Howmet航太公司,1700,1.9619
ETN US,伊頓公開有限公司,1000,1.9551
4062 JT,Ibiden Co Ltd,3000,1.9097
ENR GY,Siemens Energy AG,2200,1.8997
WMT UN,沃爾瑪公司,3400,1.845
SNDK US,晟碟公司（德拉瓦州）,200,1.7002
GS US,高盛集團,320,1.5462
GLEN LN,嘉能可公司,40000,1.519
CAT US,Caterpillar Inc,350,1.5046
NET US,Cloudflare公司,1200,1.4779
SU FP,施奈德電機公司,950,1.4518
6981 JT,村田製作所有限公司,3800,1.1488
8306 JT,三菱UFJ金融集團公司,12000,1.0922
6501 JT,日立製作所有限公司,7000,1.0703
BWXT US,BWX科技股份有限公司,1100,0.9431
VRTX US,福泰製藥公司,450,0.8947
TSLA US,特斯拉公司,450,0.885
6506 JT,安川電機公司,2000,0.415
