股票代號,股票名稱,股數,權重
2330,台積電,25000,9.0764
GOOGL US,Alphabet 公司,4500,8.7026
AVGO US,博通公司,3900,8.1966
LITE US,魯門特姆控股公司,1600,7.8814
MU US,美光科技公司,2500,7.272
NVDA US,輝達,7000,7.0108
AMZN US,AMAZON. COM INC,3000,4.1184
GEV US,奇異維諾瓦公司,750,4.0644
TER US,泰瑞達公司,2000,3.4055
IFX GY,英飛凌科技股份有限公司,8000,2.6898
LRCX US,科林研發股份有限公司,2021,2.6369
ENR GY,Siemens Energy AG,2200,2.302
WMT UN,沃爾瑪公司,3400,2.2362
CRWD US,Crowdstrike控股公司,938,2.221
COHR US,連貫公司,1300,2.164
SU FP,施奈德電機公司,1400,2.1589
ETN US,伊頓公開有限公司,1000,2.1317
MSFT US,Microsoft Corp,1000,2.0872
HWM US,Howmet航太公司,1700,2.0562
6501 JT,日立製作所有限公司,12000,1.8502
8306 JT,三菱UFJ金融集團公司,20000,1.7994
CAT US,Caterpillar Inc,350,1.545
GLEN LN,嘉能可公司,40000,1.5434
NET US,Cloudflare公司,1200,1.3574
BWXT US,BWX科技股份有限公司,1100,1.2027
VRTX US,福泰製藥公司,450,0.9761
GS US,高盛集團,200,0.9116
