股票代號,股票名稱,股數,權重
MU US,美光科技公司,2500,9.355
GOOGL US,Alphabet 公司,4500,9.0372
AVGO US,博通公司,3900,8.4029
2330,台積電,22000,8.0425
NVDA US,輝達,7000,7.5481
LITE US,魯門特姆控股公司,1300,5.8872
AMZN US,AMAZON. COM INC,3000,4.0989
GEV US,奇異維諾瓦公司,750,3.9089
LRCX US,科林研發股份有限公司,2021,2.9777
IFX GY,英飛凌科技股份有限公司,8000,2.9027
TER US,泰瑞達公司,1500,2.704
CRWD US,Crowdstrike控股公司,938,2.4805
ENR GY,Siemens Energy AG,2200,2.3062
HWM US,Howmet航太公司,1700,2.3047
WMT UN,沃爾瑪公司,3400,2.2217
COHR US,連貫公司,1300,2.1838
MSFT US,Microsoft Corp,1000,2.08
ETN US,伊頓公開有限公司,1000,2.0118
6501 JT,日立製作所有限公司,12000,1.8932
SU FP,施奈德電機公司,1100,1.7645
CAT US,Caterpillar Inc,350,1.5739
GLEN LN,嘉能可公司,40000,1.5335
8306 JT,三菱UFJ金融集團公司,15000,1.345
NET US,Cloudflare公司,1200,1.1793
BWXT US,BWX科技股份有限公司,1100,1.1317
VRTX US,福泰製藥公司,450,0.9692
GS US,高盛集團,200,0.9385
AMD US,超微半導體公司,1,0.0023
