股票代號,股票名稱,股數,權重
GOOGL US,Alphabet 公司,4500,8.0863
2330,台積電,22000,7.901
AVGO US,博通公司,3900,7.6502
MU US,美光科技公司,1600,7.5123
NVDA US,輝達,6500,6.7076
LITE US,魯門特姆控股公司,900,3.9858
AMZN US,AMAZON. COM INC,3000,3.6386
IFX GY,英飛凌科技股份有限公司,8000,3.565
LRCX US,科林研發股份有限公司,2021,3.2432
CRWD US,Crowdstrike控股公司,938,3.0564
GEV US,奇異維諾瓦公司,650,3.0023
GS US,高盛集團,530,2.7394
COHR US,連貫公司,1300,2.5843
HWM US,Howmet航太公司,1700,2.0731
MSFT US,Microsoft Corp,1000,2.0365
WMT UN,沃爾瑪公司,3400,2.015
ETN US,伊頓公開有限公司,1000,1.9939
ENR GY,Siemens Energy AG,2200,1.9753
AMD US,超微半導體公司,800,1.9402
SNDK US,晟碟公司（德拉瓦州）,220,1.7867
CAT US,Caterpillar Inc,350,1.5851
4062 JT,Ibiden Co Ltd,3000,1.5795
GLEN LN,嘉能可公司,40000,1.5686
NET US,Cloudflare公司,1200,1.4707
SU FP,施奈德電機公司,950,1.4636
8306 JT,三菱UFJ金融集團公司,12000,1.1733
LLY US,禮來公司,200,1.1367
6501 JT,日立製作所有限公司,7000,1.0869
6981 JT,村田製作所有限公司,3800,1.0216
BWXT US,BWX科技股份有限公司,1100,1.0199
TSLA US,特斯拉公司,450,0.9102
6506 JT,安川電機公司,4000,0.7932
