股票代號,股票名稱,股數,權重
2330,台積電,22000,8.5489
GOOGL US,Alphabet 公司,4000,7.2483
MU US,美光科技公司,1242,6.1004
NVDA US,輝達,5700,5.5913
AVGO US,博通公司,2800,5.0814
CRWD US,Crowdstrike控股公司,3752,3.6644
GEV US,奇異維諾瓦公司,650,3.6428
LRCX US,科林研發股份有限公司,2021,3.5757
IFX GY,英飛凌科技股份有限公司,8000,3.5041
AMZN US,AMAZON. COM INC,2800,3.421
LITE US,魯門特姆控股公司,780,2.8602
GS US,高盛集團,550,2.8273
CAT US,Caterpillar Inc,550,2.6681
4062 JT,Ibiden Co Ltd,3500,2.5502
LLY US,禮來公司,400,2.4447
AMD US,超微半導體公司,899,2.3438
HWM US,Howmet航太公司,1700,2.3145
COHR US,連貫公司,1300,2.1819
ENR GY,Siemens Energy AG,2200,2.0929
ETN US,伊頓公開有限公司,1000,2.0065
MSFT US,Microsoft Corp,1000,1.966
SNDK US,晟碟公司（德拉瓦州）,220,1.9328
6981 JT,村田製作所有限公司,5000,1.6917
6506 JT,安川電機公司,7500,1.6198
SU FP,施奈德電機公司,950,1.5037
NET US,Cloudflare公司,1200,1.4646
GLEN LN,嘉能可公司,40000,1.3687
MRVL US,Marvell Technology Inc,1100,1.3585
8306 JT,三菱UFJ金融集團公司,12000,1.2343
SNOW US,Snowflake公司,850,1.1133
TSLA US,特斯拉公司,550,1.0895
WMT UN,沃爾瑪公司,1800,1.0133
