股票代號,股票名稱,股數,權重
2330,台積電,22000,8.825
GOOGL US,Alphabet 公司,4000,7.9505
NVDA US,輝達,5300,5.9447
AVGO US,博通公司,2400,5.2465
CRWD US,Crowdstrike控股公司,3752,3.973
AMZN US,AMAZON. COM INC,2800,3.7462
MU US,美光科技公司,800,3.4899
LLY US,禮來公司,450,3.2143
GEV US,奇異維諾瓦公司,600,3.1886
GS US,高盛集團,550,3.1842
IFX GY,英飛凌科技股份有限公司,8000,2.931
AMD US,超微半導體公司,1100,2.7893
LITE US,魯門特姆控股公司,780,2.7735
HWM US,Howmet航太公司,1700,2.7375
CAT US,Caterpillar Inc,550,2.5412
LRCX US,科林研發股份有限公司,1700,2.5324
MSFT US,Microsoft Corp,1000,2.3054
ETN US,伊頓公開有限公司,1000,2.1362
ENR GY,Siemens Energy AG,2200,1.9999
NET US,Cloudflare公司,1200,1.9153
6506 JT,安川電機公司,11000,1.8381
COHR US,連貫公司,1300,1.704
SU FP,施奈德電機公司,950,1.6406
GLEN LN,嘉能可公司,40000,1.635
JPM US,摩根大通銀行,800,1.6279
8306 JT,三菱UFJ金融集團公司,12000,1.5798
6981 JT,村田製作所有限公司,7000,1.5745
SNOW US,Snowflake公司,850,1.4195
AAPL US,蘋果公司,600,1.1978
SNDK US,晟碟公司（德拉瓦州）,3,0.018
