股票代號,股票名稱,股數,權重
2330,台灣積體電路製造,496000,6.72
2308,台達電子工業,347000,4.08
2357,華碩電腦,758000,2.99
2383,台光電子材料,100000,2.79
1477,聚陽實業,2041000,2.63
2618,長榮航空,10917000,2.31
2382,廣達電腦,1211000,2.16
2385,群光電子,2811000,2.15
2345,智邦科技,146000,2.14
2360,致茂電子,169000,2.13
2317,鴻海精密工業,1405000,2.12
7769,鴻勁精密,50000,2.03
3017,奇鋐科技,131000,1.92
2368,金像電子（股）公司,235000,1.86
1319,東陽實業廠,3753000,1.84
3526,凡甲科技,807000,1.78
6669,緯穎科技服務,59000,1.77
8210,勤誠興業,205000,1.67
3592,瑞鼎科技,1094000,1.67
5274,信驊科技,17000,1.66
2548,華固建設,2155000,1.65
6121,新普科技,710000,1.63
2408,南亞科技,952000,1.61
4915,致伸科技,3560000,1.57
2393,億光電子工業,3826000,1.47
3665,貿聯控股（BizLink Holding In,119000,1.46
6515,穎崴科技,25000,1.46
6223,旺矽科技,41000,1.44
2344,華邦電子,1840000,1.33
9910,豐泰企業,3087000,1.32
8299,群聯電子,86000,1.3
2731,雄獅旅行社,1307000,1.29
2059,川湖科技,46000,1.26
3711,日月光投資控股,380000,1.1
6670,復盛應用科技,656000,1.06
6274,台燿科技,141000,1.06
9941,裕融企業,2311000,1.05
8454,富邦媒體科技,837000,1.03
6805,富世達,94000,1.02
5534,長虹建設,2175000,1.01
2727,王品餐飲,680000,0.98
9938,台灣百和工業,3590000,0.97
9802,鈺齊國際,2003000,0.95
3090,日電貿,920000,0.92
2204,中華汽車工業,2777000,0.89
2347,聯強國際,1754000,0.89
8112,至上電子,1673000,0.86
4105,台灣東洋藥品工業,1795000,0.82
3653,健策精密工業,42000,0.8
3045,台灣大哥大,1123000,0.8
6768,志強國際企業,1477000,0.78
9907,統一實業,7791000,0.77
4904,遠傳電信,1202000,0.72
4746,台耀化學,2237000,0.71
2454,聯發科技,34000,0.66
3227,原相科技,462000,0.62
9939,宏全國際,634000,0.49
1215,台灣卜蜂企業,512000,0.45
9958,世紀鋼鐵結構,614000,0.39
6146,耕興,288000,0.38
6782,視陽光學,238000,0.28
