股票代號,股票名稱,股數,權重
2330,台灣積體電路製造,548000,7.3
2308,台達電子工業,347000,4.64
2383,台光電子材料,114000,3.29
2357,華碩電腦,745000,3.05
7769,鴻勁精密,72000,2.74
2317,鴻海精密工業,1809000,2.72
1477,聚陽實業,2007000,2.61
2345,智邦科技,169000,2.61
6669,緯穎科技服務,82000,2.61
2382,廣達電腦,1191000,2.44
3017,奇鋐科技,156000,2.38
2368,金像電子（股）公司,276000,2.3
2618,長榮航空,10737000,2.29
2385,群光電子,2765000,2.22
6515,穎崴科技,35000,2.1
3665,貿聯控股（BizLink Holding In,119000,2.06
6223,旺矽科技,65000,1.93
2360,致茂電子,136000,1.91
3526,凡甲科技,794000,1.84
5274,信驊科技,17000,1.81
1319,東陽實業廠,3691000,1.78
3592,瑞鼎科技,1076000,1.69
2408,南亞科技,936000,1.68
2393,億光電子工業,3763000,1.65
2548,華固建設,2119000,1.64
6121,新普科技,698000,1.64
3711,日月光投資控股,491000,1.57
4915,致伸科技,3501000,1.5
2059,川湖科技,45000,1.48
8299,群聯電子,85000,1.35
9910,豐泰企業,3036000,1.35
8210,勤誠興業,140000,1.3
2344,華邦電子,1810000,1.27
2731,雄獅旅行社,1285000,1.22
6274,台燿科技,141000,1.22
6805,富世達,94000,1.12
9941,裕融企業,2273000,1.02
6670,復盛應用科技,645000,1.01
3653,健策精密工業,42000,1.0
9802,鈺齊國際,1970000,0.98
8454,富邦媒體科技,823000,0.95
9938,台灣百和工業,3145000,0.85
5534,長虹建設,1746000,0.83
6768,志強國際企業,1453000,0.8
2454,聯發科技,34000,0.79
2727,王品餐飲,543000,0.76
2204,中華汽車工業,2248000,0.72
4105,台灣東洋藥品工業,1594000,0.71
9907,統一實業,6211000,0.63
4746,台耀化學,1779000,0.59
