股票代號,股票名稱,股數,權重
2330,台灣積體電路製造,484000,7.01
2308,台達電子工業,332000,4.87
2357,華碩電腦,721000,4.01
2382,廣達電腦,1129000,2.81
2383,台光電子材料,93000,2.68
2360,致茂電子,161000,2.45
1477,聚陽實業,1763000,2.43
2317,鴻海精密工業,1310000,2.42
2385,群光電子,2740000,2.38
2618,長榮航空,10383000,2.34
7769,鴻勁精密,49000,2.2
2408,南亞科技,906000,2.17
3017,奇鋐科技,123000,2.1
2345,智邦科技,136000,2.1
1319,東陽實業廠,3570000,2.01
2368,金像電子（股）公司,229000,1.89
6669,緯穎科技服務,55000,1.84
5274,信驊科技,17000,1.83
3592,瑞鼎科技,1041000,1.74
2344,華邦電子,1622000,1.72
3526,凡甲科技,711000,1.66
8210,勤誠興業,191000,1.66
6121,新普科技,675000,1.65
3665,貿聯控股（BizLink Holding In,116000,1.6
4915,致伸科技,3320000,1.55
9910,豐泰企業,3009000,1.48
8454,富邦媒體科技,816000,1.42
2393,億光電子工業,3567000,1.4
2059,川湖科技,43000,1.37
6223,旺矽科技,39000,1.37
3711,日月光投資控股,362000,1.34
2731,雄獅旅行社,1274000,1.3
8299,群聯電子,80000,1.28
6274,台燿科技,125000,1.27
2548,華固建設,2101000,1.27
3090,日電貿,920000,1.18
6515,穎崴科技,23000,1.13
6805,富世達,89000,1.11
9941,裕融企業,2199000,1.09
6670,復盛應用科技,624000,1.05
9938,台灣百和工業,3414000,0.94
3653,健策精密工業,40000,0.93
2727,王品餐飲,647000,0.93
2454,聯發科技,34000,0.92
2347,聯強國際,1668000,0.91
5534,長虹建設,2069000,0.91
8112,至上電子,1591000,0.9
2204,中華汽車工業,2641000,0.87
6768,志強國際企業,1471000,0.85
9802,鈺齊國際,1730000,0.82
9907,統一實業,7756000,0.78
3045,台灣大哥大,1117000,0.77
4904,遠傳電信,1226000,0.74
4105,台灣東洋藥品工業,1624000,0.72
4746,台耀化學,2227000,0.7
3227,原相科技,460000,0.64
9939,宏全國際,647000,0.49
9958,世紀鋼鐵結構,626000,0.4
6146,耕興,294000,0.39
1215,台灣卜蜂企業,470000,0.32
6782,視陽光學,243000,0.28
